#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,DOL11,Sig Homo_HET 
051A,C,colon,DOL11,Sig Homo_HET
052A,C,colon,DOL11,Sig Homo_HET 
053A,NEC,colon,DOL11,Sig Homo_HET
054A,NEC,colon,DOL11,Sig Homo_HET
055A,NEC,colon,DOL11,Sig Homo_HET
056A,NEC,colon,DOL11,Sig Homo_HET
057A,NEC,colon,DOL11,Sig Homo_HET
058A,C,colon,DOL11,Sig Homo_HET
059A,C,colon,DOL11,Sig Homo_HET
060A,C,colon,DOL11,Sig Homo_HET
061A,NEC,colon,DOL11,Sig Homo_HET
062A,NEC,colon,DOL11,Sig Homo_HET
063A,NEC,colon,DOL11,Sig Homo_HET
064A,C,colon,DOL11,Sig Homo_HET
065A,C,colon,DOL11,Sig Homo_HET
066A,C,colon,DOL11,Sig Homo_HET
067A,C,colon,DOL11,Sig Homo_HET
068A,NEC,colon,DOL11,Sig Homo_HET
069A,NEC,colon,DOL11,Sig Homo_HET
070A,NEC,colon,DOL11,Sig Homo_HET
071A,NEC,colon,DOL11,Sig WT
072A,NEC,colon,DOL11,Sig Homo_HET
073A,C,colon,DOL11,Sig WT
074A,C,colon,DOL11,Sig Homo_HET
075A,C,colon,DOL11,Sig WT
076A,C,colon,DOL11,Sig Homo_HET
077A,NEC,colon,DOL11,Sig WT
078A,NEC,colon,DOL11,Sig Homo_HET
079A,NEC,colon,DOL11,Sig Homo_HET
080A,C,colon,DOL11,Sig Homo_HET
081A,C,colon,DOL11,Sig WT
082A,C,colon,DOL11,Sig Homo_HET
083A,C,colon,DOL11,Sig WT
084A,C,colon,DOL11,Sig Homo_HET
085A,C,colon,DOL11,Sig WT
086A,C,colon,DOL11,Sig Homo_HET
087A,C,colon,DOL11,Sig Homo_HET
088A,C,colon,DOL11,Sig WT
089A,NEC,colon,DOL11,Sig Homo_HET
090A,NEC,colon,DOL11,Sig Homo_HET
091A,NEC,colon,DOL11,Sig WT
092A,NEC,colon,DOL11,Sig Homo_HET
093A,NEC,colon,DOL11,Sig WT
094A,NEC,colon,DOL11,Sig Homo_HET
095A,C,colon,DOL11,Sig Homo_HET
096A,C,colon,DOL11,Sig Homo_HET
097A,C,colon,DOL11,Sig WT
098A,NEC,colon,DOL11,Sig Homo_HET
099A,NEC,colon,DOL11,Sig Homo_HET
100A,NEC,colon,DOL11,Sig WT
101A,NEC,colon,DOL11,Sig WT
102A,C,colon,DOL11,Sig Homo_HET
103A,C,colon,DOL11,Sig Homo_HET
104A,C,colon,DOL11,Sig Homo_HET
105A,C,colon,DOL11,Sig WT
106A,C,colon,DOL11,Sig WT
107A,C,colon,DOL11,Sig WT
214A,C,colon,DOL11,Sig Homo_HET
215A,C,colon,DOL11,Sig WT
216A,C,colon,DOL11,Sig Homo_HET
217A,NEC,colon,DOL11,Sig Homo_HET
218A,NEC,colon,DOL11,Sig WT
219A,NEC,colon,DOL11,Sig WT
220A,NEC,colon,DOL11,Sig WT
221A,NEC,colon,DOL11,Sig Homo_HET
222A,NEC,colon,DOL11,Sig Homo_HET
223A,NEC,colon,DOL11,Sig Homo_HET
224A,NEC,colon,DOL11,Sig WT
225A,NEC,colon,DOL11,Sig Homo_HET
226A,C,colon,DOL11,Sig WT
227A,C,colon,DOL11,Sig WT
228A,C,colon,DOL11,Sig WT
229A,C,colon,DOL11,Sig Homo_HET
230A,C,colon,DOL11,Sig Homo_HET
231A,C,colon,DOL11,Sig Homo_HET
232A,C,colon,DOL11,Sig Homo_HET
233A,C,colon,DOL11,Sig Homo_HET
234A,C,colon,DOL11,Sig Homo_HET
235A,C,colon,DOL11,Sig WT
236A,C,colon,DOL11,Sig Homo_HET
237A,C,colon,DOL11,Sig Homo_HET
238A,C,colon,DOL11,Sig Homo_HET
239A,C,colon,DOL11,Sig Homo_HET
240A,C,colon,DOL11,Sig Homo_HET
241A,NEC,colon,DOL11,Sig Homo_HET
242A,NEC,colon,DOL11,Sig WT
243A,NEC,colon,DOL11,Sig Homo_HET
244A,NEC,colon,DOL11,Sig Homo_HET
245A,NEC,colon,DOL11,Sig WT
246A,NEC,colon,DOL11,Sig WT
247A,NEC,colon,DOL11,Sig Homo_HET
248A,NEC,colon,DOL11,Sig WT
