"","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
"Enterococcus"," 5"," 5"," 1"," 0"," 5"," 6"," 3","11"," 5"," 4"," 6"," 0"," 1"," 0"," 1"," 0"," 1"," 3"," 1"," 0"," 0"
"Escherichia_Shigella"," 63"," 64"," 36"," 64","100"," 43"," 60"," 29","102","101"," 74","102","133","138","116","103","144","116","151","134","124"
"Lactobacillus","106","111","130","111"," 71","115","112","114"," 80"," 76","101"," 62"," 57"," 48"," 67"," 78"," 46"," 73"," 38"," 63"," 61"
"Romboutsia"," 5"," 3"," 9"," 2"," 2"," 0"," 0"," 0"," 0"," 0"," 1","23"," 0"," 5"," 1"," 5"," 1"," 0"," 0"," 0"," 2"
"Rothia"," 1"," 5"," 9"," 7"," 6"," 8"," 7","13"," 2"," 6"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Staphylococcus","3","1","1","1","0","0","0","0","0","0","0","8","3","4","5","8","1","1","1","0","5"
"Streptococcus","12"," 8"," 8"," 8"," 9"," 8"," 7"," 4"," 6"," 5"," 3"," 2"," 3"," 1"," 7"," 3"," 4"," 3"," 5"," 0"," 5"
"Veillonella","1","0","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Response","3","3","3","3","3","4","4","4","4","4","4","1","2","1","1","1","1","2","2","2","2"
"sample","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
