#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,DOL11,Sig Homo_HET 
051A,C,colon,DOL11,Sig Homo_HET
052A,C,colon,DOL11,Sig Homo_HET 
058A,C,colon,DOL11,Sig Homo_HET
059A,C,colon,DOL11,Sig Homo_HET
060A,C,colon,DOL11,Sig Homo_HET
064A,C,colon,DOL11,Sig Homo_HET
065A,C,colon,DOL11,Sig Homo_HET
066A,C,colon,DOL11,Sig Homo_HET
067A,C,colon,DOL11,Sig Homo_HET
073A,C,colon,DOL11,Sig WT
074A,C,colon,DOL11,Sig Homo_HET
075A,C,colon,DOL11,Sig WT
076A,C,colon,DOL11,Sig Homo_HET
080A,C,colon,DOL11,Sig Homo_HET
081A,C,colon,DOL11,Sig WT
082A,C,colon,DOL11,Sig Homo_HET
083A,C,colon,DOL11,Sig WT
084A,C,colon,DOL11,Sig Homo_HET
085A,C,colon,DOL11,Sig WT
086A,C,colon,DOL11,Sig Homo_HET
087A,C,colon,DOL11,Sig Homo_HET
088A,C,colon,DOL11,Sig WT
095A,C,colon,DOL11,Sig Homo_HET
096A,C,colon,DOL11,Sig Homo_HET
097A,C,colon,DOL11,Sig WT
102A,C,colon,DOL11,Sig Homo_HET
103A,C,colon,DOL11,Sig Homo_HET
104A,C,colon,DOL11,Sig Homo_HET
105A,C,colon,DOL11,Sig WT
106A,C,colon,DOL11,Sig WT
107A,C,colon,DOL11,Sig WT
214A,C,colon,DOL11,Sig Homo_HET
215A,C,colon,DOL11,Sig WT
216A,C,colon,DOL11,Sig Homo_HET
226A,C,colon,DOL11,Sig WT
227A,C,colon,DOL11,Sig WT
228A,C,colon,DOL11,Sig WT
229A,C,colon,DOL11,Sig Homo_HET
230A,C,colon,DOL11,Sig Homo_HET
231A,C,colon,DOL11,Sig Homo_HET
232A,C,colon,DOL11,Sig Homo_HET
233A,C,colon,DOL11,Sig Homo_HET
234A,C,colon,DOL11,Sig Homo_HET
235A,C,colon,DOL11,Sig WT
236A,C,colon,DOL11,Sig Homo_HET
237A,C,colon,DOL11,Sig Homo_HET
238A,C,colon,DOL11,Sig Homo_HET
239A,C,colon,DOL11,Sig Homo_HET
240A,C,colon,DOL11,Sig Homo_HET
139A,C,colon,DOL14,Sig Homo_HET
140A,C,colon,DOL14,Sig WT 
141A,C,colon,DOL14,Sig Homo_HET
142A,C,colon,DOL14,Sig Homo_HET
143A,C,colon,DOL14,Sig Homo_HET 
144A,C,colon,DOL14,Sig Homo_HET
145A,C,colon,DOL14,Sig Homo_HET
146A,C,colon,DOL14,Sig WT 
147A,C,colon,DOL14,Sig Homo_HET
148A,C,colon,DOL14,Sig Homo_HET
149A,C,colon,DOL14,Sig Homo_HET
150A,C,colon,DOL14,Sig Homo_HET 
151A,C,colon,DOL14,Sig WT 
152A,C,colon,DOL14,Sig Homo_HET 
153A,C,colon,DOL14,Sig Homo_HET 
154A,C,colon,DOL14,Sig Homo_HET 
155A,C,colon,DOL14,Sig Homo_HET
156A,C,colon,DOL14,Sig WT 
157A,C,colon,DOL14,Sig Homo_HET 
158A,C,colon,DOL14,Sig WT 
159A,C,colon,DOL14,Sig Homo_HET 
160A,C,colon,DOL14,Sig Homo_HET 
161A,C,colon,DOL14,Sig WT 
162A,C,colon,DOL14,Sig WT 
163A,C,colon,DOL14,Sig Homo_HET
164A,C,colon,DOL14,Sig Homo_HET 
165A,C,colon,DOL14,Sig Homo_HET
166A,C,colon,DOL14,Sig Homo_HET 
167A,C,colon,DOL14,Sig WT 
168A,C,colon,DOL14,Sig Homo_HET 
169A,C,colon,DOL14,Sig Homo_HET 
249A,C,colon,DOL14,Sig Homo_HET
250A,C,colon,DOL14,Sig Homo_HET
251A,C,colon,DOL14,Sig Homo_HET
252A,C,colon,DOL14,Sig Homo_HET
253A,C,colon,DOL14,Sig Homo_HET
254A,C,colon,DOL14,Sig Homo_HET
255A,C,colon,DOL14,Sig Homo_HET
256A,C,colon,DOL14,Sig Homo_HET
257A,C,colon,DOL14,Sig Homo_HET
258A,C,colon,DOL14,Sig WT
259A,C,colon,DOL14,Sig WT
260A,C,colon,DOL14,Sig WT
261A,C,colon,DOL14,Sig WT
262A,C,colon,DOL14,Sig Homo_HET
263A,C,colon,DOL14,Sig Homo_HET
108A,C,colon,DOL 28,Sig Homo_HET
109A,C,colon,DOL28,Sig Homo_HET
110A,C,colon,DOL28,Sig Homo_HET 
111A,C,colon,DOL28,Sig WT
112A,C,colon,DOL28,Sig Homo_HET
113A,C,colon,DOL28,Sig Homo_HET
114A,C,colon,DOL28,Sig Homo_HET 
115A,C,colon,DOL28,Sig WT
116A,C,colon,DOL28,Sig Homo_HET
117A,C,colon,DOL28,Sig Homo_HET
118A,C,colon,DOL28,Sig Homo_HET
119A,C,colon,DOL28,Sig WT
120A,C,colon,DOL28,Sig WT
121A,C,colon,DOL28,Sig Homo_HET
122A,C,colon,DOL28,Sig Homo_HET
123A,C,colon,DOL28,Sig Homo_HET
124A,C,colon,DOL28,Sig WT 
125A,C,colon,DOL28,Sig Homo_HET
126A,C,colon,DOL28,Sig Homo_HET
127A,C,colon,DOL28,Sig Homo_HET 
128A,C,colon,DOL28,Sig Homo_HET 
129A,C,colon,DOL28,Sig WT
130A,C,colon,DOL28,Sig Homo_HET
131A,C,colon,DOL28,Sig Homo_HET 
132A,C,colon,DOL28,Sig Homo_HET 
133A,C,colon,DOL28,Sig Homo_HET
134A,C,colon,DOL28,Sig WT
135A,C,colon,DOL28,Sig WT 
136A,C,colon,DOL28,Sig Homo_HET
137A,C,colon,DOL28,Sig WT 
138A,C,colon,DOL28,Sig Homo_HET
252A,C,colon,DOL14,Sig Homo
253A,C,colon,DOL14,Sig Homo
254A,C,colon,DOL14,Sig Homo
255A,C,colon,DOL14,Sig HET
256A,C,colon,DOL14,Sig Homo
257A,C,colon,DOL14,Sig HET
258A,C,colon,DOL14,Sig WT
259A,C,colon,DOL14,Sig WT
260A,C,colon,DOL14,Sig WT
261A,C,colon,DOL14,Sig WT
262A,C,colon,DOL14,Sig HET
263A,C,colon,DOL14,Sig HET
108A,C,colon,DOL28,Sig HET
109A,C,colon,DOL28,Sig Homo
110A,C,colon,DOL28,Sig HET 
111A,C,colon,DOL28,Sig WT
112A,C,colon,DOL28,Sig Homo
113A,C,colon,DOL28,Sig Homo
114A,C,colon,DOL28,Sig Homo 
115A,C,colon,DOL28,Sig WT
116A,C,colon,DOL28,Sig HET
117A,C,colon,DOL28,Sig HET
118A,C,colon,DOL28,Sig HET
119A,C,colon,DOL28,Sig WT
120A,C,colon,DOL28,Sig WT
121A,C,colon,DOL28,Sig Homo
122A,C,colon,DOL28,Sig Homo
123A,C,colon,DOL28,Sig HET
124A,C,colon,DOL28,Sig WT 
125A,C,colon,DOL28,Sig HET
126A,C,colon,DOL28,Sig Homo
127A,C,colon,DOL28,Sig HET 
128A,C,colon,DOL28,Sig HET 
129A,C,colon,DOL28,Sig WT
130A,C,colon,DOL28,Sig Homo
131A,C,colon,DOL28,Sig HET 
132A,C,colon,DOL28,Sig HET 
133A,C,colon,DOL28,Sig Homo
134A,C,colon,DOL28,Sig WT
135A,C,colon,DOL28,Sig WT 
136A,C,colon,DOL28,Sig HET
137A,C,colon,DOL28,Sig WT 
138A,C,colon,DOL28,Sig Homo
